slide_id,wsi_path,reason
TCGA-CC-A7IH-01Z-00-DX1,/data3/chensx/tcga_data/2f73e73e-6b48-4821-891b-61de2eeeb445/TCGA-CC-A7IH-01Z-00-DX1.3905C6E9-5AD8-4135-8215-9D41DFD61DFA.svs,missing_feature_pt
TCGA-UB-A7MC-01Z-00-DX1,/data3/chensx/tcga_data/9c70d85f-838c-4ba9-8ce7-56f667f98ebc/TCGA-UB-A7MC-01Z-00-DX1.464FF827-2C8A-412A-ACB6-EBE209A28404.svs,missing_feature_pt
TCGA-ED-A7PX-01Z-00-DX1,/data3/chensx/tcga_data/fe5b1613-5db4-4b36-ac7d-206c07a7b61c/TCGA-ED-A7PX-01Z-00-DX1.D75A1B1F-7062-44D6-8BF0-B511BAF8E45B.svs,missing_feature_pt
TCGA-G3-A7M8-01Z-00-DX1,/data3/chensx/tcga_data/07ec549d-0d61-4a8e-959d-7701118796b4/TCGA-G3-A7M8-01Z-00-DX1.5FCC342D-BCBF-4901-85AB-FDF384EDD79D.svs,missing_feature_pt
TCGA-2Y-A9GV-01Z-00-DX1,/data3/chensx/tcga_data/a3895527-a259-4af0-a0d0-c97667f9d039/TCGA-2Y-A9GV-01Z-00-DX1.524FA6DD-7C84-425C-A2B5-17690DF50A28.svs,missing_feature_pt
TCGA-G3-AAUZ-01Z-00-DX1,/data3/chensx/tcga_data/745dff2e-2541-4b0e-99d5-07208a90d04c/TCGA-G3-AAUZ-01Z-00-DX1.10727DCE-8E78-4B9D-93A0-76A1C4EB57EC.svs,missing_feature_pt
TCGA-CC-A7IF-01Z-00-DX1,/data3/chensx/tcga_data/495070b8-d989-48ce-a3ce-3e4b8fc1d050/TCGA-CC-A7IF-01Z-00-DX1.F5D74385-ABD3-466D-9DCD-2A762140F633.svs,missing_feature_pt
TCGA-DD-A73E-01Z-00-DX1,/data3/chensx/tcga_data/80663216-8ffe-4d52-9cb5-9557d3439b1d/TCGA-DD-A73E-01Z-00-DX1.E80B5E5D-BE89-4BD1-A4E3-EEA26027D6E0.svs,missing_feature_pt
TCGA-CC-A123-01Z-00-DX1,/data3/chensx/tcga_data/8613bc1e-3931-41b4-9733-497aeba6100b/TCGA-CC-A123-01Z-00-DX1.61EEFACB-9576-414C-AC21-20CBC6DC1D05.svs,missing_feature_pt
TCGA-BW-A5NO-01Z-00-DX1,/data3/chensx/tcga_data/ccbac068-d0ee-49bf-a9fa-e2c01b94d5e5/TCGA-BW-A5NO-01Z-00-DX1.55133D96-C98B-4E7F-9DC0-8761031C7C93.svs,missing_feature_pt
TCGA-2Y-A9GX-01Z-00-DX1,/data3/chensx/tcga_data/7c425038-0844-4489-9828-e9ac07558f5a/TCGA-2Y-A9GX-01Z-00-DX1.DC3E1EAB-686A-44F9-91AF-0C6975DE029E.svs,missing_feature_pt
TCGA-G3-A5SM-01Z-00-DX1,/data3/chensx/tcga_data/c50c888c-d98f-43df-86fd-5596f77d5ed6/TCGA-G3-A5SM-01Z-00-DX1.FA873103-3FFF-4D83-A405-4A33340D6DC2.svs,missing_feature_pt
TCGA-5R-AA1D-01Z-00-DX1,/data3/chensx/tcga_data/ca88e79c-059e-4f04-93e6-a0876d6ab75f/TCGA-5R-AA1D-01Z-00-DX1.3B9C354E-7523-479C-955D-7D409D475C0C.svs,missing_feature_pt
TCGA-DD-AACY-01Z-00-DX1,/data3/chensx/tcga_data/11a67b2d-f351-4efc-9cba-3bb729686b75/TCGA-DD-AACY-01Z-00-DX1.53DA507E-E016-4CD5-9DD1-62729FB3C9E8.svs,missing_feature_pt
TCGA-K7-A5RF-01Z-00-DX1,/data3/chensx/tcga_data/74f183f1-22b4-49b4-b3d6-8692dc82bf71/TCGA-K7-A5RF-01Z-00-DX1.0B1FE587-D6F7-40E4-8F18-B37948336845.svs,missing_feature_pt
TCGA-DD-A4NF-01Z-00-DX1,/data3/chensx/tcga_data/8f6dbc54-e2b1-4f23-a382-b606a2ecc64b/TCGA-DD-A4NF-01Z-00-DX1.A876C169-BA5A-4ACF-A6F1-5B0558CE0392.svs,missing_feature_pt
TCGA-DD-AAE9-01Z-00-DX1,/data3/chensx/tcga_data/9262f512-9b11-44ac-aaaa-5ba973711f57/TCGA-DD-AAE9-01Z-00-DX1.D42910FF-CD70-4747-8BA2-3701A778E1F7.svs,missing_feature_pt
TCGA-DD-AAE1-01Z-00-DX1,/data3/chensx/tcga_data/60e9378e-baec-4b3e-a1d3-6166836ea6d9/TCGA-DD-AAE1-01Z-00-DX1.D7B815DA-36EF-4388-9307-EE17F06400E7.svs,missing_feature_pt
TCGA-MR-A8JO-01Z-00-DX1,/data3/chensx/tcga_data/3b3ed156-e62f-4381-878e-9e835e69d9f5/TCGA-MR-A8JO-01Z-00-DX1.FB4668E2-B5EA-402F-AB15-8C22C724E002.svs,missing_feature_pt
TCGA-WX-AA46-01Z-00-DX1,/data3/chensx/tcga_data/2e25dd2d-dccb-41d5-a3f7-ee96ac87e505/TCGA-WX-AA46-01Z-00-DX1.30A83B36-A242-4846-86D5-F9BA48E42B72.svs,missing_feature_pt
TCGA-T1-A6J8-01Z-00-DX1,/data3/chensx/tcga_data/3a26bd02-b431-4eba-8f33-b8b9fe0e6594/TCGA-T1-A6J8-01Z-00-DX1.013DA5DA-0753-4EBC-99D9-F8817059A202.svs,missing_feature_pt
TCGA-UB-A7MD-01Z-00-DX1,/data3/chensx/tcga_data/c7cfce62-d70c-4765-afbe-05f8343643a0/TCGA-UB-A7MD-01Z-00-DX1.F49A3B9F-C7D1-4A58-924E-E759892C5DD4.svs,missing_feature_pt
TCGA-CC-5261-01Z-00-DX1,/data3/chensx/tcga_data/5224a6ec-3854-4468-b912-c7b3995354a7/TCGA-CC-5261-01Z-00-DX1.475D05D8-FC25-4B9F-B601-6AD5208FE8EE.svs,missing_feature_pt
TCGA-CC-A8HT-01Z-00-DX1,/data3/chensx/tcga_data/4deb494c-40e3-4a75-8391-3310571a7f99/TCGA-CC-A8HT-01Z-00-DX1.F286B878-F5F9-4D02-B626-28C3BE8B20A0.svs,missing_feature_pt
TCGA-K7-A5RG-01Z-00-DX1,/data3/chensx/tcga_data/7492eeab-77f3-4103-84f9-87f556a387e6/TCGA-K7-A5RG-01Z-00-DX1.D8137CB8-34DC-41C0-AE4B-BD3C1E8E9743.svs,missing_feature_pt
TCGA-FV-A3I1-01Z-00-DX1,/data3/chensx/tcga_data/1164690b-4ab3-44ff-bd0b-f9bbff923a0e/TCGA-FV-A3I1-01Z-00-DX1.853E4122-319B-4425-87B5-E080B3AD6A7A.svs,missing_feature_pt
TCGA-DD-AADF-01Z-00-DX1,/data3/chensx/tcga_data/32033717-4832-4230-8bdc-0d9f46c7e2f3/TCGA-DD-AADF-01Z-00-DX1.953F6603-2A57-4BB0-B402-46CCB7940751.svs,missing_feature_pt
TCGA-RC-A6M3-01Z-00-DX1,/data3/chensx/tcga_data/8bdb75fe-3657-41b9-8462-8c71f5d3f7b5/TCGA-RC-A6M3-01Z-00-DX1.5B63A6E7-F016-4CA5-9C67-BF1E0F17B10F.svs,missing_feature_pt
